author,degree,betweenness,closeness,eigenvector
'Virgil E Wallentine'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Marshall C. Pease',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Robert E. Shostak',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Leslie Lamport'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Shigeichi Hirasawa',0.0007380073800738007,0.0,0.0014470732942623544,5.851390714786714e-10
['Sheila A. Greibach',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Emily P. Friedman'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Raymond Descout',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Jean-Yves Auloge',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Bernard Guérin'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['H. T. Kung',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Philip L. Lehman'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['James W. Cooley',0.0002460024600246002,0.0,0.0009272400416311856,1.0920191807614178e-16
['Horst D. Wettstein',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Günter Merbeth'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['C. S. Joshi',0.0004920049200492004,0.0,0.0006560065600656006,5.391763813295377e-21
'Randy H. Steinvorth'],0.0004920049200492004,0.0,0.0006560065600656006,5.391763813295377e-21
['Henry F. Korth',0.0002460024600246002,0.0,0.003758370917042504,2.8159932292661974e-08
['A. Cardon',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Maxime Crochemore'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Aiden A. Bruen',0.0004920049200492004,0.0,0.0032927320423646713,9.697716357265644e-08
['Akira Nakamura',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Katsushi Inoue'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Stephen D. Huffman',0.0002460024600246002,0.0,0.0003280032800328003,2.832860302274036e-29
['Robert Piloty',0.001230012300123001,0.0,0.0012300123001230013,7.841464017868166e-10
'Mario R. Barbacci',0.001230012300123001,0.0,0.0012300123001230013,7.841464017868166e-10
'Dominique Borrione',0.001230012300123001,0.0,0.0012300123001230013,7.841464017868166e-10
'Donald L. Dietmeyer',0.001230012300123001,0.0,0.0012300123001230013,7.841464017868166e-10
'Fredrick J. Hill',0.001230012300123001,0.0,0.0012300123001230013,7.841464017868166e-10
'Patrick Skelly'],0.001230012300123001,0.0,0.0012300123001230013,7.841464017868166e-10
['C. Elliott Sigal',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'A. Alan B. Pritsker',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'James J. Solberg'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Heinz G. Fehn',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Peter Noll'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['G. Baliga',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'M. V. C. Rao'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Friedrich Hertweck',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Inge Precht'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Alberto Leon-Garcia'],0.0002460024600246002,0.0,0.0004920049200492004,8.178628063636229e-26
'Tae H. Joo',0.0004920049200492004,0.0,0.0005535055350553505,2.105226514731014e-23
'Theresa C. Speake'],0.0004920049200492004,0.0,0.0005535055350553505,2.105226514731014e-23
['Bruce Alan Fette',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'R. Gibson',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'E. Greenwood'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Michael A. Wesley',0.0009840098400984009,0.0,0.0009840098400984009,1.0339894262607107e-13
'Tomas Lozano-Perez',0.0009840098400984009,0.0,0.0009840098400984009,1.0339894262607107e-13
'Lawrence I. Lieberman',0.0009840098400984009,0.0,0.0009840098400984009,1.0339894262607107e-13
'Mark A. Lavin',0.0009840098400984009,0.0,0.0009840098400984009,1.0339894262607107e-13
'David D. Grossman'],0.0009840098400984009,0.0,0.0009840098400984009,1.0339894262607107e-13
['Ikuo Iizuka',0.0004920049200492004,0.0,0.0013666803334700015,4.221590356399546e-10
['Ralph M. Weischedel',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
